term,count
"category",231
"mechanism",165
"gender",104
"HPC",93
"projectibility",75
"grammaticality",70
"noun",63
"kind",53
"definiteness",53
"essentialism",51
"entrenchment",49
"interpretant",48
"basin",46
"pro-form",45
"adjective",44
"value",44
"adverb",43
"verb",43
"countability",42
"habit",40
"maintenance view",39
"prototype",38
"object",38
"stabilizer",38
"referent",38
"construction",37
"homeostasis",35
"aspect",33
"antecedent",33
"grammar",32
"alignment",32
"detector",30
"inference",29
"would-be",29
"register",28
"designatum",28
"count cluster",28
"class",27
"acquisition",25
"deitality",25
"gradience",24
"ungrammatical",24
"form cluster",24
"zipper",24
"subject",23
"transmission",23
"uniqueness",22
"identifiability",21
"acceptability",20
"dialect",20
"phoneme",19
"animacy",19
"singulative",19
"interrogative",19
"otherwise",18
"auxiliary",18
"bidirectional inference",17
"analogy",17
"social indexing",17
"perfective",17
"fun",16
"contrast",16
"preposition",15
"grammaticalization",15
"familiarity",15
"species",13
"field-relative projectibility",13
"feeling of ungrammaticality",13
"structural meaning",13
"comparative concept",12
"processing economy",12
"conditioned",12
"near",11
"classifier",11
"field",11
"discourse community",11
"relative tolerance",10
"loose coupling",10
"immune system",10
"cattle",9
"interactive alignment",9
"two-diagnostic test",9
"composite coupling",9
"nounhood",8
"nominalism",8
"homeostatic property cluster",8
"non-finite clause",8
"hard coupling",8
"individuation cluster",8
"proper function",8
"double copula",8
"particle",7
"pro-form inventory",7
"appropriateness",7
"Aristotle",6
"spinning top",6
"indexical field",6
"boundedness",6
"inflation problem",6
"fat class",6
"mode",6
"information structure",5
"sociolinguistics",5
"phenomenology",5
"mixture",5
"mechanistic drift",5
"voice",4
"projectable",4
"meta-Occam",4
"indexicality",4
"social meaning",4
"epistemic kind",4
"functional anchoring",4
"epicene",4
"mixed bin",4
"feature bundle",3
"cognitive linguistics",3
"typology",3
"construction grammar",3
"standing wave",3
"passive",3
"iterated transmission",3
"dynamic discreteness",3
"standardization",3
"NPI",3
"proper name",3
"atomicity",3
"run",2
"dog",2
"feature system",2
"pease",2
"Taylor, John",2
"functionalism",2
"crosscutting kinds",2
"maintained kind",2
"perturbation sensitivity",2
"workarounds",2
"infinitival complement",2
"chunking",2
"anaphoric recoverability",2
"Communicative Situations",2
"com-sit",2
"IRE words",2
"semantic transparency",2
"selective fallibility",2
"syntactic satiation",2
"schema drift",2
"Huddleston, Rodney",1
"the",1
"think",1
"pin",1
"pen",1
"honorific",1
"gonna",1
"beware",1
"homonymy",1
"Chomsky, Noam",1
"Jespersen, Otto",1
"Quirk, Randolph",1
"Baker, Mark",1
"bachelor",1
"Katz, Jerrold",1
"nearer",1
"nearest",1
"-se",1
"-s",1
"pea",1
"cow",1
"Shakespeare, William",1
"quickly",1
"inflectional class",1
"thematic role",1
"speech act",1
"Dik, Simon C.",1
"Role and Reference Grammar",1
"macrorole",1
"Pullum, Geoffrey K.",1
"Rosch, Eleanor",1
"Lakoff, George",1
"Langacker, Ronald",1
"feature matrix",1
"Bybee, Joan",1
"Goldberg, Adele",1
"variationist linguistics",1
"Labov, William",1
"Tagliamonte, Sali",1
"Haspelmath, Martin",1
"Croft, William",1
"usage-based linguistics",1
"anaphor",1
"interrogative phrase",1
"bounding node",1
"canonical clause",1
"verbless clause",1
"will",1
"boundary case",1
"Boyd, Richard",1
"Millikan, Ruth",1
"copied kind",1
"etiological kind",1
"unicept",1
"Illari, Phyllis McKay",1
"Williamson, Jon",1
"Khalidi, Muhammad Ali",1
"simple causal theory",1
"stable",1
"instance stability",1
"cliquish stability",1
"symmetry condition",1
"dominance condition",1
"error and repair",1
"creativity",1
"compositionality",1
"agent-based model",1
"Madagascar fallacy",1
"factivity",1
"enumerability",1
"homogeneity resistance",1
"mass-word",1
"weak definite",1
"Normal conditions",1
"derived",1
"prestige selection",1
"personhood cluster",1
"subcompositional",1
"wiring diagram",1
"grammatical basin",1
"garden-path sentence",1
"comparative illusion",1
"Escher sentence",1
"rerepresentation",1
"conspicuous absence",1
"contingent",1
"unconditioned probability",1
"conditioned probability",1
"orderly heterogeneity",1
"tenor",1
