key	action	status_before	status_after	doi_before	doi_after
AguilarZwarts2014	replaced_doi_high	doi_metadata_mismatch	doi_ok	10.1075/la.219.01agu	10.3765/salt.v0i20.2583
BensonAnglin1987	added_doi_high	missing_doi_candidate_high	doi_ok		10.1177/014272378700701903
Bloch2006	added_doi_high	missing_doi_candidate_high	doi_ok_year_variant		10.1017/cbo9780511499630.006
Boskovic2005a	added_doi_high	missing_doi_candidate_high	doi_ok		10.1111/j.1467-9582.2005.00118.x
Braun1988	added_doi_high	missing_doi_candidate_high	doi_ok		10.1515/9783110848113
Broussard2018	added_doi_high	missing_doi_candidate_high	doi_ok		10.7551/mitpress/11022.001.0001
BrownFord1961	added_doi_high	missing_doi_candidate_high	doi_ok		10.1037/h0042862
BrownLevinson1987	added_doi_high	missing_doi_candidate_high	doi_ok		10.1017/cbo9780511813085
ClementsSezer1982	added_doi_high	missing_doi_candidate_high	doi_ok		10.1515/9783112423325-007
CotnoirVarzi2021	added_doi_high	missing_doi_candidate_high	doi_ok		10.1093/oso/9780198749004.001.0001
Crawford2021	added_doi_high	missing_doi_candidate_high	doi_ok		10.12987/9780300252392
Dixon1972	replaced_doi_high	doi_unresolved	doi_ok	10.1017/CBO9780511720086	10.1017/cbo9781139084987
Duranti2011	added_doi_high	missing_doi_candidate_high	doi_ok		10.1017/cbo9780511997068.006
ElbertPukui1979	added_doi_high	missing_doi_candidate_high	doi_ok		10.1515/9780824840792
Goddard2024	replaced_doi_high	doi_unresolved	doi_ok	10.1016/j.lingua.2024.103652	10.2139/ssrn.4888348
Handler1986	added_doi_high	missing_doi_candidate_high	doi_ok		10.1075/sihols.41.17han
Haslanger2012	added_doi_high	missing_doi_candidate_high	doi_ok		10.1093/acprof:oso/9780199892631.001.0001
Heine2002	added_doi_high	missing_doi_candidate_high	doi_ok		10.1075/tsl.49.08hei
Joseph2012	added_doi_high	missing_doi_candidate_high	doi_ok		10.3917/lang.185.0125
KabakVogel2001	replaced_doi_high	doi_unresolved	doi_ok	10.1017/S0952675701004137	10.1017/s0952675701004201
Leech2014	added_doi_high	missing_doi_candidate_high	doi_ok		10.1093/acprof:oso/9780195341386.001.0001
Luka2005	added_doi_high	missing_doi_candidate_high	doi_ok		10.1016/j.jml.2005.01.013
Luong1990	replaced_doi_high	doi_metadata_mismatch	doi_ok	10.1075/pbns.9	10.1075/pbns.11
MacWhinney2000	added_doi_high	missing_doi_candidate_high	doi_ok		10.1162/coli.2000.26.4.657
McCawley1974	replaced_doi_high	doi_metadata_mismatch	doi_ok	10.1515/9783110813456	10.1515/9783110813456-010
Morgan1871	added_doi_high	missing_doi_candidate_high	doi_ok		10.5962/bhl.title.29577
Nichols1988	added_doi_high	missing_doi_candidate_high	doi_ok		10.1515/9783110852387.557
Rawls1971	added_doi_high	missing_doi_candidate_high	doi_ok		10.4159/9780674042605
Ringen1999	added_doi_high	missing_doi_candidate_high	doi_ok		10.1023/a:1006158818498
Sapir1925	added_doi_high	missing_doi_candidate_high	doi_ok		10.2307/409004
Sapir1927b	added_doi_high	missing_doi_candidate_high	doi_ok_year_variant		10.1037/13401-006
Sloat1969	added_doi_high	missing_doi_candidate_high	doi_ok		10.2307/411749
