key	status	doi_normalized	suggested_doi	suggestion_confidence	notes
millikan1984	missing_doi_candidate_high		10.7551/mitpress/4124.001.0001	high	High-confidence DOI candidate found.
craver2007	missing_doi_candidate_high		10.1093/acprof:oso/9780199299317.003.0007	high	High-confidence DOI candidate found.
kolyaseva2018tipa	doi_metadata_mismatch	10.1016/j.pragma.2018.03.003			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
yang2016	missing_doi_candidate_high		10.7551/mitpress/9780262035323.001.0001	high	High-confidence DOI candidate found.
ohala1990	missing_doi_candidate_high		10.1017/cbo9780511627736.014	high	High-confidence DOI candidate found.
wilson1999	missing_doi_candidate_high		10.7551/mitpress/6396.003.0013	high	High-confidence DOI candidate found.
sandler2006	missing_doi_candidate_high		10.1017/cbo9781139163910	high	High-confidence DOI candidate found.
brentari1998	missing_doi_candidate_high		10.7551/mitpress/5644.001.0001	high	High-confidence DOI candidate found.
huddleston2005	missing_doi_candidate_high		10.1017/cbo9780511815515	high	High-confidence DOI candidate found.
lauwers2021	doi_metadata_mismatch	10.1017/9781108937979.015			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
chomsky1965	missing_doi_candidate_high		10.21236/ad0616323	high	High-confidence DOI candidate found.
boguraev2025	missing_doi_candidate_high		10.18653/v1/2025.emnlp-main.1271	high	High-confidence DOI candidate found.
dupre1993	doi_unresolved	10.2307/j.ctv1pncnzh			DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
hacking1999	missing_doi_candidate_high		10.2307/j.ctv1bzfp1z	high	High-confidence DOI candidate found.
pullum2019-normativity	doi_metadata_mismatch	10.5281/zenodo.2654375			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
quine1969	missing_doi_candidate_high		10.1007/978-94-017-1466-2_2	high	High-confidence DOI candidate found.
kornblith1993	missing_doi_candidate_high		10.7551/mitpress/3730.001.0001	high	High-confidence DOI candidate found.
favier2021	doi_metadata_mismatch	10.1016/j.lingua.2020.102991			Title does not match DOI metadata.
tomasello1992	missing_doi_candidate_high		10.1017/cbo9780511527678	high	High-confidence DOI candidate found.
dennett1976	missing_doi_candidate_high		10.1525/9780520353060-008	high	High-confidence DOI candidate found.
waytz2010	missing_doi_candidate_high		10.1177/0963721409359302	high	High-confidence DOI candidate found.
shirvertesh2012	missing_doi_candidate_high		10.1111/j.1548-1433.2012.01443.x	high	High-confidence DOI candidate found.
rispoli1994	missing_doi_candidate_high		10.1017/s0305000900008709	high	High-confidence DOI candidate found.
russell1905	missing_doi_candidate_high		10.1093/mind/xiv.4.479	high	High-confidence DOI candidate found.
heim1991	missing_doi_candidate_high		10.1515/9783110126969.7.487	high	High-confidence DOI candidate found.
carlsonsussman2005	missing_doi_candidate_high		10.1515/9783110197549.71	high	High-confidence DOI candidate found.
aguilarguevarazwarts2010	missing_doi_candidate_high		10.3765/salt.v20i0.2583	high	High-confidence DOI candidate found.
himmelmann1997	missing_doi_candidate_high		10.1515/9783110929621	high	High-confidence DOI candidate found.
rozendaalbaker2008	missing_doi_candidate_high		10.1017/s0305000908008702	high	High-confidence DOI candidate found.
diessel1999	missing_doi_candidate_high		10.1075/tsl.42	high	High-confidence DOI candidate found.
diessel2004	missing_doi_candidate_high		10.1017/cbo9780511486531	high	High-confidence DOI candidate found.
rowlandpine2000	doi_unresolved	10.1016/S0010-0277(00)00100-0			DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
krifka2004	missing_doi_candidate_high		10.3765/salt.v13i0.2880	high	High-confidence DOI candidate found.
krifka1989	missing_doi_candidate_high		10.1515/9783110877335-005	high	High-confidence DOI candidate found.
brockmann2018	missing_doi_candidate_high		10.21248/zaspil.60.2018.466	high	High-confidence DOI candidate found.
decat2011	doi_metadata_mismatch	10.1017/S0305000910000346			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
lyons1999	missing_doi_candidate_high		10.1017/cbo9780511605789	high	High-confidence DOI candidate found.
poesio1994	missing_doi_candidate_high		10.3765/salt.v4i0.2465	high	High-confidence DOI candidate found.
birnerward1994	doi_metadata_mismatch	10.3765/bls.v20i1.1455			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
aikhenvald2004	missing_doi_candidate_high		10.1093/oso/9780199263882.001.0001	high	High-confidence DOI candidate found.
ide2005	missing_doi_candidate_high		10.1075/pbns.139.06ide	high	High-confidence DOI candidate found.
husic2021	doi_metadata_mismatch	10.1017/9781108937979.017			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
kauffman1993	missing_doi_candidate_high		10.1093/oso/9780195079517.001.0001	high	High-confidence DOI candidate found.
gathercole1985	doi_metadata_mismatch	10.1017/S0305000900006498			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
remijsen2019dinka	doi_metadata_mismatch	10.1017/S0952675719000034			Title does not match DOI metadata. | First-author surname does not match DOI metadata.
garner2016	missing_doi_candidate_high		10.1093/acref/9780190491482.001.0001	high	High-confidence DOI candidate found.
downing1996propernames	missing_doi_candidate_high		10.1075/tsl.33.05dow	high	High-confidence DOI candidate found.
doetjes2012	missing_doi_candidate_high		10.1515/9783110253382.2559	high	High-confidence DOI candidate found.
bellman1961adaptive	missing_doi_candidate_high		10.1515/9781400874668	high	High-confidence DOI candidate found.
emmorey2002	missing_doi_candidate_high		10.4324/9781410603982	high	High-confidence DOI candidate found.
scottphillips2024communication	missing_doi_candidate_high		10.31234/osf.io/dargm	high	High-confidence DOI candidate found.
goldberg2003	missing_doi_candidate_high		10.1016/s1364-6613(03)00080-9	high	High-confidence DOI candidate found.
Watt1968	missing_doi_candidate_high		10.1177/007542426800200109	high	High-confidence DOI candidate found.
sorace2005	missing_doi_candidate_high		10.1016/j.lingua.2004.07.002	high	High-confidence DOI candidate found.
kay1999grammatical	missing_doi_candidate_high		10.2307/417472	high	High-confidence DOI candidate found.
gibson1998	missing_doi_candidate_high		10.1016/s0010-0277(98)00034-1	high	High-confidence DOI candidate found.
scott-phillips2024intuitions	missing_doi_candidate_high		10.31234/osf.io/qvrmk	high	High-confidence DOI candidate found.
Boskovic2005a	missing_doi_candidate_high		10.1111/j.1467-9582.2005.00118.x	high	High-confidence DOI candidate found.
Steinhauer2009	doi_unresolved	10.1177/0267658308098			DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
